,sna,tot,sbi,sarea,mday,ar,bemp,act
1255,YouBike2.0_臺大二號館,10,0,臺大專區,2023-06-03 22:04:04,臺大物理文物廳北側,10,1
1259,YouBike2.0_臺大思亮館東南側,10,2,臺大專區,2023-06-04 01:21:04,臺大思亮館東南側,8,1
1260,YouBike2.0_臺大椰林小舖,48,1,臺大專區,2023-06-04 09:16:15,臺大椰林小舖旁,47,1
1261,YouBike2.0_臺大計資中心南側,34,1,臺大專區,2023-06-04 09:17:25,臺大計算機網路資訊中心南側,33,1
1262,YouBike2.0_臺大原分所北側,12,2,臺大專區,2023-06-04 08:51:15,臺大原子與分子科學研究所東北側,10,1
1265,YouBike2.0_臺大博理館西側,22,3,臺大專區,2023-06-04 09:09:14,臺大博理館西側,19,1
1267,YouBike2.0_臺大森林館北側,10,3,臺大專區,2023-06-04 08:44:14,臺大森林系學系北側,7,1
1268,YouBike2.0_臺大一號館,19,2,臺大專區,2023-06-04 09:07:14,臺大植物魚類標本館一號館北側,17,1
1269,YouBike2.0_臺大小小福西南側,10,1,臺大專區,2023-06-04 09:17:15,臺大進修教育大樓,9,1
1270,YouBike2.0_臺大教研館北側,11,2,臺大專區,2023-06-04 09:10:20,臺大雅頌廣場東南側,9,1
1271,YouBike2.0_臺大四號館東北側,10,0,臺大專區,2023-06-03 22:21:04,臺大園藝暨景觀學系北側,10,1
1274,YouBike2.0_臺大電機二館東南側,14,3,臺大專區,2023-06-04 09:10:20,臺大電機二館南側,11,1
1275,YouBike2.0_臺大圖資系館北側,25,0,臺大專區,2023-06-03 22:07:04,臺大圖書資訊館北側,25,1
1280,YouBike2.0_臺大明達館北側(員工宿舍),18,0,臺大公館校區,2023-06-04 07:55:10,明達館北側前空地,18,1
